x0,x1,x2,x3,label
-0.350092,-0.353477,-0.402312,0.341775,0
0.246720,0.309075,-0.243751,0.558028,0
-0.333236,-0.841326,-0.215367,-0.494623,1
0.540397,0.035215,0.114914,0.100323,1
-0.198613,-0.046563,0.448214,-0.293761,1
-0.467257,0.286148,-0.425836,-0.526168,0
0.330117,-0.324027,0.661065,-0.199267,1
-0.785970,-0.918146,-0.701997,0.566484,1
0.622189,-0.133416,0.070163,-0.700837,1
-0.486878,0.331591,-0.051395,0.929902,0
0.112393,0.605246,-0.724267,-0.708456,0
0.332644,0.290933,-0.372279,-0.982310,1
0.398722,-0.218863,0.335149,0.998386,0
0.709127,0.643798,-0.056919,-0.951294,1
0.465039,0.987173,-0.608150,-0.053530,1
-0.901826,0.209479,0.199803,-0.504647,0
-0.971278,0.039535,-0.570763,-0.230363,0
0.784608,-0.725321,-0.283200,-0.803148,0
0.013330,0.122201,-0.850415,-0.365440,0
0.417633,0.550537,0.268185,-0.902473,1
-0.853748,-0.443520,-0.022054,-0.708466,1
-0.329010,0.754661,0.649677,-0.389914,1
-0.318632,0.195540,-0.808942,-0.249747,0
0.028112,0.818163,-0.629993,-0.396096,0
-0.753296,0.443941,-0.828752,-0.419411,0
0.692279,0.717685,-0.532673,-0.981700,1
-0.182914,0.902166,0.785341,0.838379,0
-0.378221,0.932434,-0.549388,-0.899180,0
0.811798,0.636153,0.888567,0.616202,1
-0.309941,0.526209,0.366071,0.270521,0
-0.682760,0.071823,-0.046537,0.219160,0
-0.029116,-0.145562,0.988547,-0.393751,1
-0.565418,0.514616,-0.176218,-0.034337,0
0.148491,-0.103795,-0.862070,-0.040080,0
0.752420,0.294018,-0.406598,-0.386793,1
0.052750,0.211282,-0.879440,0.694806,0
-0.055567,-0.466904,-0.389775,0.409156,0
0.319315,-0.477838,-0.704368,0.048809,0
-0.507960,-0.456974,-0.394909,0.766522,0
0.174782,0.921088,-0.233396,-0.877253,1
-0.467946,0.842625,0.945679,-0.435249,1
0.346847,-0.297916,0.197604,-0.506363,1
0.829343,-0.197115,-0.984583,-0.924501,0
-0.900540,-0.182009,-0.245165,0.452970,0
0.874479,-0.083501,-0.282617,-0.486586,1
-0.607016,0.962491,-0.827021,-0.130002,0
-0.893600,-0.307600,0.103218,-0.788080,1
-0.830654,0.277145,0.946610,0.680012,0
-0.739933,-0.824718,-0.872973,0.423996,0
0.762200,0.683418,-0.353407,0.997624,1
0.839113,-0.909858,0.524287,0.747959,0
-0.567923,-0.160282,0.361493,-0.144950,1
-0.286492,0.611802,-0.184246,0.178243,0
-0.973454,-0.276583,-0.736018,0.565389,0
-0.157792,-0.240553,-0.563631,-0.218818,0
0.765368,0.837893,0.302247,-0.289096,1
0.120818,0.416152,-0.010838,-0.004210,1
-0.849347,-0.955446,0.016390,-0.243695,1
0.354241,-0.026583,-0.375838,0.559544,0
-0.997985,-0.980129,0.479841,-0.712969,1
0.354342,-0.399307,-0.457700,0.059162,0
-0.383271,0.337410,0.365760,0.872529,0
0.162597,-0.860081,-0.375682,-0.893610,0
0.054889,0.174865,0.138446,0.554534,0
-0.602246,0.625049,0.184673,-0.861224,0
-0.450440,0.646085,-0.630260,0.960354,0
-0.271513,0.426586,-0.149557,0.845457,0
-0.958059,0.758108,0.180436,0.041150,0
0.471054,0.021112,-0.434764,0.217938,0
-0.158488,0.993192,0.806681,-0.564783,1
-0.688048,-0.614182,0.718093,0.225873,1
-0.588801,0.515845,-0.708612,0.456263,0
0.155573,-0.981962,-0.602602,0.117846,0
0.277526,-0.995141,-0.699363,-0.293306,0
0.096860,0.579778,0.769780,0.347155,1
0.065770,-0.889662,0.065084,0.315894,0
-0.481034,0.167248,-0.415978,-0.877412,0
0.660123,-0.464268,0.446365,0.803503,0
-0.684092,0.205396,0.799968,0.584211,1
0.488840,0.744865,-0.871494,-0.432296,1
-0.759779,-0.032568,0.342424,0.604143,0
-0.065598,-0.706029,0.934326,0.998500,1
-0.624380,0.719368,-0.019927,0.212341,0
-0.131330,0.788719,-0.733158,-0.784002,0
0.734651,-0.510458,0.329373,0.647380,0
-0.686959,-0.533749,0.675682,-0.566315,1
0.981350,-0.536845,-0.016532,0.032235,0
0.223602,0.402209,-0.451518,0.946717,0
-0.721103,-0.998203,0.766091,-0.324940,1
-0.598707,0.342766,0.927300,-0.254804,1
0.262277,-0.712017,-0.889526,-0.005028,0
-0.472944,-0.838341,-0.549983,0.752448,0
-0.864070,0.594682,-0.436748,0.072832,0
-0.678006,-0.057779,0.416749,-0.311688,1
-0.103588,-0.820154,0.413369,0.827024,1
0.832528,-0.315590,0.981246,0.557414,1
0.680048,0.805947,-0.554016,-0.185761,1
-0.159447,0.636841,-0.532697,0.762454,0
0.235591,0.884502,-0.178618,-0.344748,1
-0.601407,0.253817,0.810166,-0.157518,1
-0.478124,-0.754392,0.078870,0.085711,1
0.489960,-0.222638,0.122937,-0.163817,1
0.430479,-0.467527,0.265696,-0.368091,1
-0.186093,-0.555749,0.387980,-0.729844,1
-0.366630,-0.779054,0.190944,0.911572,1
0.695784,0.318040,0.273330,0.772199,1
-0.444430,0.264050,-0.195553,-0.440363,0
-0.877801,0.746100,0.074094,0.309585,0
0.472811,0.361509,-0.299308,0.779035,0
0.901169,-0.558356,-0.221136,0.052346,0
-0.265814,0.854287,-0.252276,-0.483530,0
-0.052720,-0.809235,-0.738883,0.861555,0
0.109811,-0.755890,-0.158944,0.263203,0
-0.308160,-0.815539,0.595625,0.402605,1
-0.736524,0.338004,0.782570,0.480831,0
-0.381962,-0.024334,0.499859,0.883494,0
0.350307,0.017825,-0.715570,-0.347930,0
0.921099,-0.938711,0.900400,0.418101,0
-0.260582,-0.365211,-0.902020,-0.043464,0
-0.706560,-0.910764,-0.375663,0.014471,1
-0.138432,-0.970999,0.267660,0.571523,1
0.834826,0.690447,-0.784319,0.188096,1
-0.818182,0.173992,0.509902,-0.402210,1
-0.912472,-0.064075,-0.123232,-0.799805,1
-0.702813,-0.553754,0.717046,-0.389664,1
-0.803522,0.418767,0.534663,0.920996,0
-0.840690,0.519732,0.586238,0.834188,0
-0.805574,-0.038803,0.032573,0.318016,0
0.422089,-0.114565,0.373342,-0.054824,1
0.412093,-0.053404,0.446244,0.569345,1
-0.085645,0.995890,0.771843,0.495718,1
